128969 AL
241750 AK
147669 AZ
120560 AR
330037 CA
217558 CO
266845 CT
216902 DE
404380 DC
144501 FL
129446 GA
499837 HI
140436 ID
152387 IL
113416 IN
118036 IA
118687 KS
130344 KY
152413 LA
175175 ME
256411 MD
306363 MA
96398 MI
164105 MN
126484 MS
123754 MO
178188 MT
120415 NE
153364 NV
220625 NH
282633 NJ
161176 NM
245858 NY
154481 NC
133473 ND
113730 OH
118771 OK
206977 OR
153439 PA
230354 RI
135855 SC
156243 SD
123613 TN
134854 TX
194147 UT
203970 VT
229420 VA
248555 WA
129369 WV
153935 WI
183202 WY
